customer_id,full_name,birth_date,license_number,license_issue_date,license_exp_date,risk_category
CL-0001,Amine Tazi,2007-03-10,MA-B-2025-000001,2025-06-15,2035-06-15,mineur
CL-0002,Nadia Berrada,1985-11-22,MA-B-2010-000002,2010-01-10,2026-01-10,standard
CL-0003,Hamza Lahlou,2004-02-18,MA-B-2023-000003,2023-09-01,2033-09-01,jeune_conducteur
CL-0004,Omar Tazi,1990-02-01,MA-B-2012-809570,2012-04-08,2022-04-08,standard
CL-0005,Ahmed Lahlou,1993-09-03,MA-B-2017-343962,2017-01-01,2027-01-01,standard
CL-0006,Samira Ziani,1986-10-01,MA-B-2007-331148,2007-12-21,2017-12-21,standard
CL-0007,Houda Squalli,1984-10-09,MA-B-2002-391369,2002-03-23,2012-03-23,standard
CL-0008,Rachid Tazi,1974-04-25,MA-B-1997-476417,1997-02-03,2007-02-03,standard
CL-0009,Said Sebti,1997-06-20,MA-B-2019-230889,2019-01-24,2029-01-24,standard
CL-0010,Zineb Lahlou,1999-07-03,MA-B-2021-838797,2021-11-20,2031-11-20,standard
CL-0011,Amina Tazi,1972-01-22,MA-B-1993-498591,1993-05-03,2003-05-03,standard
CL-0012,Zineb Lahlou,1978-08-21,MA-B-2001-802729,2001-03-12,2011-03-12,standard
CL-0013,Khadija Sebti,1978-12-22,MA-B-1997-864544,1997-10-21,2007-10-21,standard
CL-0014,Samira Chraibi,1977-03-15,MA-B-2001-817870,2001-05-21,2011-05-21,standard
CL-0015,Mehdi El Fassi,1980-01-08,MA-B-1998-321231,1998-06-13,2008-06-13,standard
CL-0016,Leila Amrani,1999-10-23,MA-B-2022-774079,2022-04-21,2032-04-21,standard
CL-0017,Samira Sebti,1984-03-09,MA-B-2004-375504,2004-04-24,2014-04-24,standard
CL-0018,Omar Naciri,1993-10-14,MA-B-2017-617488,2017-06-08,2027-06-08,standard
CL-0019,Khadija Ziani,1972-01-28,MA-B-1991-725380,1991-03-21,2001-03-21,standard
CL-0020,Samira Alami,1972-07-13,MA-B-1997-813328,1997-09-09,2007-09-09,standard
